PUFC04_SEX,PUFC05_AGE,PUFC06_MSTAT,PUFC07_GRADE,PUFC09_GRADTECH,PUFC11_WORK,PUFC14_PROCC,PUFC17_NATEM,PUFC18_PNWHRS,PUFC19_PHOURS,PUFC23_PCLASS,PUFC41_WQTR,PUFNEWEMPSTAT
0,46,2,14,0,1,1,2,8,40,2,2,0
0,28,3,20,0,1,32,2,8,48,2,2,0
0,20,3,14,0,0,43,3,0,0,5,1,1
1,41,2,14,0,1,25,1,1,6,0,2,0
0,40,2,14,0,0,43,3,0,0,5,2,1
1,16,3,14,0,0,43,3,0,0,5,1,1
0,88,5,5,0,0,43,3,0,0,5,1,1
0,50,5,2,0,1,1,2,8,40,2,2,0
1,28,3,20,0,0,43,3,0,0,5,1,1
1,21,3,20,0,0,43,3,0,0,5,1,2
1,58,2,4,0,0,25,1,8,0,4,2,0
0,52,2,14,0,1,25,2,2,14,4,2,0
0,29,2,20,0,1,19,1,13,91,4,2,0
0,27,3,20,0,1,18,1,8,40,1,2,0
1,58,2,14,0,1,25,1,2,14,4,2,0
0,58,2,20,0,1,32,1,8,40,2,2,0
0,35,3,3,0,0,43,3,0,0,5,0,1
1,34,2,20,0,1,34,1,8,48,1,2,0
0,33,2,20,0,1,42,1,8,40,1,2,0
1,54,2,20,0,1,25,1,8,40,4,2,0
0,44,2,4,0,1,1,1,3,15,7,2,0
1,28,2,14,0,1,33,1,8,56,4,2,0
0,28,2,14,0,0,43,3,0,0,5,1,1
1,64,2,4,0,1,25,1,8,32,0,2,0
0,57,2,4,0,1,1,2,6,18,7,2,0
0,32,3,14,0,1,24,1,4,28,2,2,0
0,19,3,14,0,0,43,3,0,0,5,1,1
1,29,2,14,0,1,1,2,4,12,7,2,0
1,23,2,4,0,1,25,1,5,35,4,2,0
0,23,2,14,0,0,43,3,0,0,5,0,1
0,57,5,4,0,1,1,2,4,16,2,2,0
0,27,2,20,0,1,25,2,1,7,4,2,0
1,29,2,20,0,1,11,1,10,60,2,2,0
1,54,2,12,0,1,25,1,15,45,0,2,0
0,47,2,12,0,1,25,2,3,21,4,2,0
0,26,3,20,0,1,19,1,10,60,4,2,0
1,16,3,14,0,1,1,1,10,30,7,0,0
1,21,2,14,0,1,25,1,10,30,4,2,0
0,25,2,14,0,0,43,3,0,0,5,0,1
1,55,2,7,0,1,25,1,8,40,4,2,0
0,53,2,12,0,1,1,2,4,20,7,2,0
1,64,2,8,0,1,25,1,8,48,4,2,0
0,62,2,12,0,1,25,2,1,7,4,2,0
1,69,2,4,0,1,25,1,4,20,4,2,0
0,66,2,12,0,1,25,2,2,14,4,2,0
1,32,2,14,0,1,25,1,4,28,4,2,0
0,75,3,4,0,0,43,3,0,0,5,0,1
